,SK_ID_CURR,TARGET,index,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,HOUR_APPR_PROCESS_START,EXT_SOURCE_2,EXT_SOURCE_3,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR,REGION,NAME_TYPE_SUITE_Children,NAME_TYPE_SUITE_Family,NAME_TYPE_SUITE_Rare,"NAME_TYPE_SUITE_Spouse, partner",NAME_TYPE_SUITE_Unaccompanied,NAME_INCOME_TYPE_Commercial associate,NAME_INCOME_TYPE_Pensioner,NAME_INCOME_TYPE_Rare,NAME_INCOME_TYPE_State servant,NAME_INCOME_TYPE_Working,NAME_EDUCATION_TYPE_Higher education,NAME_EDUCATION_TYPE_Incomplete higher,NAME_EDUCATION_TYPE_Lower secondary,NAME_EDUCATION_TYPE_Secondary / secondary special,OCCUPATION_TYPE_Accountants,OCCUPATION_TYPE_Core staff,OCCUPATION_TYPE_Drivers,OCCUPATION_TYPE_HR staff,OCCUPATION_TYPE_High skill tech staff,OCCUPATION_TYPE_Laborers,OCCUPATION_TYPE_Low-skill Laborers,OCCUPATION_TYPE_Managers,OCCUPATION_TYPE_Medicine staff,OCCUPATION_TYPE_Realty agents,OCCUPATION_TYPE_Sales staff,OCCUPATION_TYPE_Secretaries,ORGANIZATION_TYPE_Agriculture,ORGANIZATION_TYPE_Business Entity,ORGANIZATION_TYPE_Construction,ORGANIZATION_TYPE_Education,ORGANIZATION_TYPE_Finance,ORGANIZATION_TYPE_Government,ORGANIZATION_TYPE_HotelRestaurant,ORGANIZATION_TYPE_House,ORGANIZATION_TYPE_Industry,ORGANIZATION_TYPE_Other,ORGANIZATION_TYPE_Public,ORGANIZATION_TYPE_Security,ORGANIZATION_TYPE_Self-employed,ORGANIZATION_TYPE_Services,ORGANIZATION_TYPE_Trade,ORGANIZATION_TYPE_Transport,ORGANIZATION_TYPE_XNA,DAYS_EMPLOYED_PERC,INCOME_CREDIT_PERC,INCOME_PER_PERSON,ANNUITY_INCOME_PERC,PAYMENT_RATE,NEW_EXT_MEAN,NEW_APP_EXT_SOURCES_PROD,NEW_GOODS_CREDIT,NEW_C_GP,NEW_APP_AGE,NEW_LOAN_VALUE_RATIO,INCOME_PER_PERSON_PERC_PAYMENT_RATE,NAME_FAMILY_STATUS
0,180740,0,69614,0,1,1,1,1,225000,808650,29839.5,675000,0.010276,-15208,-3993,-5613,-5621,2,2,2,15,0.442591356,0.29109738,1,0,1,0,-565,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.262559179,0.278241514,112500,0.13262,0.03690039,0.366844368,0.128837184,0.834724541,-0.594,42,1.198,3048748.303,Separated
1,208223,0,93199,0,1,1,1,2,225000,755190,35122.5,675000,0.00496,-14610,-3324,-8702,-4222,4,2,2,17,0.674716952,0.465069215,2,0,2,0,-756,0,0,0,1,0,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2275154,0.297938267,56250,0.1561,0.046508164,0.569893083,0.313790083,0.893814802,-0.3564,40,1.1188,1209465.086,Married
2,184558,0,72921,0,1,1,0,0,157500,387000,19890,387000,0.006207,-19450,-11672,-4065,-2986,2,2,2,10,0.50969894,0.143758053,2,2,2,1,-923,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.600102828,0.406976744,78750,0.126285714,0.051395349,0.326728497,0.073273327,1,0,53,1,1532239.819,Married
3,238579,0,119503,0,1,0,0,0,126000,269550,18364.5,225000,0.026392,-11862,-319,-4331,-4547,2,2,2,13,0.643409133,0.76102637,1,1,1,1,-72,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.026892598,0.467445743,63000,0.14575,0.068130217,0.702217751,0.489651316,0.834724541,-0.353571429,32,1.198,924699.8285,Married
4,364901,0,228704,0,1,1,1,2,90000,207306,11376,148500,0.035792,-12226,-3152,-6273,-680,4,2,2,14,0.64005573,0.553164699,5,0,5,0,-279,0,0,0,0,0,5,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.257811222,0.434140835,22500,0.1264,0.054875402,0.596610214,0.354056235,0.716332378,-0.6534,33,1.396,410019.7785,Married
5,210614,0,95273,0,1,0,1,0,180000,540000,41787,540000,0.006207,-12383,-2361,-6191,-1727,2,2,2,12,0.698296252,0.53348163,1,0,1,0,-1785,0,0,0,0,0,1,6,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190664621,0.333333333,90000,0.23215,0.077383333,0.615888941,0.372528223,1,0,34,1,1163041.137,Married
6,269137,0,145873,0,1,0,1,0,157500,314055,16164,238500,0.00496,-18855,-8722,-7498,-2400,2,2,2,9,0.526000832,0.616121691,4,0,4,0,-1918,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.462582869,0.501504514,78750,0.102628571,0.051468692,0.571061261,0.324080522,0.759421121,-0.479714286,52,1.316792453,1530056.375,Married
7,346635,0,212830,0,1,0,0,1,225000,338832,23049,292500,0.020246,-14031,-278,-968,-2147,3,3,3,12,0.492988316,0.248535557,3,0,3,0,-460,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019813271,0.664045899,75000,0.10244,0.068024862,0.370761937,0.122525126,0.863259669,-0.20592,38,1.1584,1102538.071,Married
8,335244,0,202928,0,1,1,0,0,90000,1288350,37800,1125000,0.025164,-14341,-867,-3410,-2967,2,2,2,8,0.162653215,0.53348163,4,0,4,0,-781,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.060456035,0.069856794,45000,0.42,0.029339853,0.348067423,0.086772502,0.87320992,-1.815,39,1.1452,1533750,Married
9,117485,0,14975,1,1,1,0,0,360000,202500,10125,202500,0.030755,-17622,-5943,-6258,-1176,2,2,2,15,0.602424878,0.53348163,0,0,0,0,-453,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.337248893,1.777777778,180000,0.028125,0.05,0.567953254,0.321382606,1,0,48,1,3600000,Married
